ID,NOM,LATITUDE,LONGITUDE
8881570,"Frameries",50.40593,3.90659
8882107,"La Louvière-Centre",50.47816,4.17986
8882206,"La Louvière-Sud",50.46498,4.190611
8882230,"Morlanwelz",50.458,4.24737
8882248,"Carnières",50.44796,4.263829
8882339,"Leval",50.4308,4.21104
8882362,"Binche",50.40876,4.17245
8882701,"Manage",50.50611,4.23468
8883006,"Braine-le-Comte",50.60508,4.13766
8883022,"Hennuyères",50.65101,4.17589
8883113,"Soignies",50.57277,4.067518
8883121,"Neufvilles",50.5436,4.01067
8883212,"Ecaussinnes",50.56239,4.156637
8883220,"Marche-lez-Ecaussinnes",50.54617,4.177102
8883238,"Familleureux",50.51936,4.21158
8883311,"Enghien",50.69727,4.047359
8883436,"Silly",50.66238,3.935861
8883808,"Tubize",50.69171,4.20573
8884004,"Saint-Ghislain",50.44286,3.820255
8884319,"Boussu",50.43638,3.797027
8884327,"Hainin",50.42802,3.766893
8884335,"Quiévrain",50.41011,3.68608
8884350,"Thulin",50.42333,3.744708
8884541,"Quaregnon",50.44983,3.856541
8884566,"Jemappes",50.45258,3.885583
8884632,"Ville-Pommeroeul",50.46454,3.724245
8884640,"Harchies",50.48257,3.698768
8884715,"Blaton",50.50546,3.666308
8884855,"Péruwelz",50.5137,3.592777
8884889,"Callenelle",50.52736,3.526178
8885001,"Tournai",50.61313,3.39694
8885068,"Froyennes",50.62989,3.354835
8885522,"Antoing",50.56963,3.45131
8885530,"Maubray",50.54756,3.495523
8885704,"Mouscron",50.741,3.228449
8885753,"Herseaux",50.7139,3.245961
8886009,"Ath",50.62694,3.777428
8886041,"Maffle",50.61435,3.800117
8886058,"Mévergnies-Attre",50.60011,3.833919
8886066,"Brugelette",50.59423,3.852551
8886074,"Cambron-Casteau",50.58676,3.87481
8886348,"Leuze",50.60061,3.616876
8886504,"Lessines",50.71201,3.836434
8886546,"Acren",50.7331,3.84709
8886553,"Houraing",50.70306,3.835174
8886561,"Papignies",50.68658,3.82341
8886587,"Rebaix",50.66124,3.793624
8889003,"QUEVY-FRONTIERE",50.32771,3.908753
8889011,"Mouscron-Frontière",50.72172,3.196086
8889045,"Blandain-Frontière",50.61749,3.26373
8891009,"Bruges",51.19723,3.21673
8891033,"Bruges-Saint-Pierre",51.22312,3.201796
8891116,"Oostkamp",51.15411,3.25747
8891124,"Beernem",51.12801,3.32989
8891132,"Maria-Aalter",51.10761,3.38673
8891140,"Aalter",51.0923,3.447848
8891157,"Bellem",51.08391,3.48737
8891165,"Hansbeke",51.07321,3.53621
8891173,"Zeebrugge-Strand",51.3305,3.184028
8891264,"Zedelgem",51.12705,3.164142
8891314,"Torhout",51.06471,3.10587
8891405,"Blankenberge",51.31243,3.13386
8891553,"Zeebrugge-Dorp",51.32638,3.195171
8891629,"Lissewege",51.29471,3.19451
8891645,"Heist",51.33398,3.239182
8891652,"Duinbergen",51.3382,3.263591
8891660,"Knokke",51.3399,3.28519
8891702,"Ostende",51.22821,2.92581
8892007,"Gand-Saint-Pierre",51.0359,3.710673
8892031,"Tronchiennes",51.04729,3.655201
8892056,"Landegem",51.06431,3.576856
8892080,"De Pinte",50.99706,3.650467
8892106,"Deinze",50.97826,3.534435
8892205,"Lichtervelde",51.02516,3.127209
8892254,"Tielt",50.99084,3.33034
8892288,"Aarsele",50.98446,3.41836
8892304,"Furnes",51.07387,2.66994
8892320,"Coxyde",51.0792,2.652773
8892338,"La Panne",51.0774,2.601966
